,home_team_api_id,away_team_api_id,home_team_mean_rating,away_team_mean_rating,home_top_players,away_top_players,AVG_bet_H,AVG_bet_A_D,h_5_games_pts,a_5_games_pts,h_only_10_games_pts,a_only_10_games_pts,final_result
265,9985,9984,71.31818181818181,68.45454545454545,0,0,1.4349999999999996,1.4583333333333333,3,3,17,8,1
266,9991,9998,70.31818181818181,66.04545454545455,0,0,1.5333333333333334,1.57,5,7,17,7,1
267,9993,1773,67.68181818181819,66.27272727272727,0,0,1.8149999999999997,1.6458333333333333,10,10,19,10,0
268,9986,8635,63.95454545454545,73.5909090909091,0,0,6.791666666666667,1.3687499999999997,6,10,1,15,1
269,8571,9987,67.5,70.27272727272727,0,0,2.4166666666666665,3.6062499999999997,10,11,16,10,0
270,8203,9989,67.68181818181819,65.31818181818181,0,0,1.7633333333333334,1.4187500000000002,9,3,14,11,1
271,8475,10000,65.4090909090909,68.5,0,0,3.0250000000000004,1.4749999999999999,3,9,3,12,0
272,8635,9991,73.9090909090909,70.45454545454545,0,0,1.5516666666666667,1.6416666666666666,9,8,28,15,1
273,9987,9985,70.5,71.54545454545455,0,0,1.8683333333333334,2.2083333333333335,11,6,23,10,0
274,10000,9986,68.5909090909091,64.31818181818181,0,0,1.6516666666666666,1.33375,9,6,21,9,1
275,1773,8203,66.27272727272727,67.68181818181819,0,0,2.266666666666667,1.3829166666666666,13,9,12,13,1
276,9994,8475,69.31818181818181,65.72727272727273,0,0,1.515,1.375,8,2,19,1,1
277,9989,8342,65.9090909090909,71.27272727272727,0,0,4.505,3.2458333333333336,2,5,9,15,1
278,9998,8571,66.13636363636364,67.18181818181819,0,0,2.0833333333333335,2.9866666666666664,4,10,12,16,1
